Concise Description,Entity,Amount,Timeline,Exact Quotes,Reasoning
Drive inclusive growth and job creation,Government of National Unity (GNU),,,"Firstly, to drive inclusive growth and job creation.",One of the three strategic priorities of the GNU to build a stronger nation.
Reduce poverty and tackle the high cost of living,Government of National Unity (GNU),,,"Secondly, to reduce poverty and tackle the high cost of living.",One of the three strategic priorities of the GNU to build a stronger nation.
"Build a capable, ethical and developmental state",Government of National Unity (GNU),,,"Thirdly, to build a capable, ethical and developmental state.",One of the three strategic priorities of the GNU to build a stronger nation.
Deployment of SANDF to Western Cape and Gauteng for gang violence and illegal mining,"SANDF, SAPS",,within the next few days,I am deploying the South African National Defence Force (SANDF) to support the police... I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.,To strengthen the fight against gang violence and illegal mining as part of the focus on organized crime.
Recruitment of additional police officers,SAPS,"5,500 additional police officers",this year,"We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers, adding to the 20 000 new officers we announced in previous SoNAs.",To tackle gun crime and increase enforcement of existing laws.
Establishment of National Illicit Economy Disruption Programme,"State agencies, private sector",,,"We are establishing a National Illicit Economy Disruption Programme that brings together key state agencies and other stakeholders, including the private sector.","To target high-risk sectors like tobacco, fuel, alcohol and other counterfeit products using data analytics and AI."
Re-vetting and lifestyle audits of SAPS and Metro Police Senior Management,State Security Agency,,,The State Security Agency will re-vet the Senior Management of the SAPS and Metro Police departments. The vetting process will include lifestyle audits.,Exposed rampant corruption and abuse of power by the Madlanga Commission of Inquiry.
Introduction of Whistle-Blower Protection Bill,Parliament,,,The Whistle-Blower Protection Bill will be introduced in Parliament.,"To prevent victimisation of those who speak out against corruption and provide support (psychosocial, legal, financial)."
Finalisation of new Public Procurement Act regulations,Government,,mid-2026,Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.,To end corruption in the procurement system where the majority of incidents originate.
Funding for water and sanitation infrastructure,Government,R156 billion,over the next three years,We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.,To ensure water security in the long term and address systemic failures and neglect of infrastructure.
Establishment of National Water Crisis Committee,Presidency (Chaired by President),,,"we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair.",To bring together all existing efforts into a single coordinating body to address water challenges effectively.
"Incentive for metros to reform water, sanitation and electricity services",Metros,R54 billion,,"we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.","To ensure revenue from water usage is put straight back into fixing pipes, reservoirs and pumping stations instead of being used for other purposes."
Finalisation of a revised White Paper on Local Government,Government,,in the coming months,"we will, in the coming months finalise a revised White Paper on Local Government.",To provide solutions for the functioning of an effective local government system and address dysfunction.
Public investment in infrastructure,Government,R1 trillion,over three years,Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.,"To build and maintain infrastructure as an investment in jobs, productivity and growth."
Establishment of specialised courts for commercial matters,Judiciary,,this year (implied starting work),we will establish specialised courts for commercial matters with dedicated judges and dedicated court rolls to ensure faster outcomes,To prevent undue delays in critical projects arising from tender implementation disputes.
Establishment of a professional State Property Company,Government,88 000 buildings and five million hectares,this year,"This year, we will begin work to establish a professional State Property Company",To transform State owned assets into professionally managed engines of growth and development.
Renewable energy supply target,Energy Sector,40% of energy supply,by 2030,"By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources.",To transform the energy system for long-term security and drive down the cost of electricity.
Restructuring Eskom and establishing independent transmission entity,Eskom / Task Team,,Task team reports in 3 months,We are restructuring Eskom and establishing a fully independent state-owned transmission entity... The committee will report to me within three months.,To enable private investment in expanding the national grid and ensure long-term energy security.
Eradication of load reduction,Government / Eskom,,by next year,"We will work in each province to address transformer overloading, illegal connections and equipment failure with the objective of eradicating load reduction by next year.",To modernise the energy system and address local equipment failures.
Public-private partnerships in port terminals and rail corridors,Transnet / Private Sector,,later this year,"Later this year, we will initiate major public-private partnerships in our port terminals and rail corridors through a concession model",To mobilise private investment and expertise while preserving public ownership to improve performance.
Deployment of new Extension Officers to support farmers,Department of Agriculture,"10,000 new Extension Officers",,We will deploy 10 000 new Extension Officers to support farmers and improve agricultural productivity.,"To support farmers and improve agricultural productivity, creating opportunities for young people."
Vaccination of national cattle herd for Foot-and-Mouth Disease,Department of Agriculture / Task Team,28 million vaccines (14m cattle),over the next 12 months,We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.,To deal with one of the worst outbreaks of foot-and-mouth disease (FMD) which is damaging the economy and resulting in export bans.
Extension of Electronic Travel Authorisation System,Department of Home Affairs,,in the coming year,"In the coming year, we will extend the Electronic Travel Authorisation System to all countries that require a visa",To promote tourism by enabling applications to be processed digitally within 24 hours.
Tax deduction for investment in new energy vehicles,National Treasury / SARS,150% tax deduction,from March this year,"From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles",To pivot the economy towards green growth and support local production of batteries.
Target for raising new investments,Government,R2 trillion,over the next five years,We have now set ourselves a target of raising R2 trillion in new investments over the next five years.,To build on the success of the first five Investment Conferences and drive economic growth.
Funding for small and medium enterprises,Government,"R2.5 billion (180,000 SMEs) + R1 billion guarantees",this year,"This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.","To back those who create opportunity, specifically focusing on women-and youth-led businesses."
Employment equity target for persons with disabilities,Public Service / Government,7% target,by 2030,"increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030, and to mandate a 7% preferential procurement target",To ensure no one is left behind and correct injustices of the past.
Compulsory Grade R,Basic Education,,,"By making Grade R compulsory, we are getting all children off to a good start.",To establish a firm foundation for learning in the early years of a child's life.
Increase in skills development levy returned to employers,Department of Higher Education and Training,40% (restored level),,"we will increase the proportion of the skills development levy returned to employers, restoring it to its original level of 40%.",To support effective workplace-based learning and align skills development with economic needs.
Mission to end child stunting,Government,,by 2030,"This year, we will embark on a mission to end child stunting by 2030","More than a quarter of children under five are stunted, affecting their ability to learn and grow."
Redesign of the Social Relief of Distress (SRD) Grant,SASSA / Department of Social Development,,this year,"This year, we will redesign the grant to more effectively support livelihoods, skills development, work opportunities and productive activity.",To transform the grant into an instrument that improves lives and supports productive activity.
Phase 4 of construction in District Six,Government,R500 million,,"With R500 million allocated to this work, we are proceeding with Phase 4 of construction [in District Six].",To redress injustices of the past and fulfill restitution claims for forcibly removed residents.
Rollout of Lenacapavir for HIV prevention,Department of Health,,,"we will be undertaking a massive rollout of Lenacapavir, a six-monthly injection that has proven highly effective in preventing HIV transmission.",To prevent and ultimately eliminate HIV/AIDS.
HPV vaccine for young girls,Department of Health,,,ensure that every young girl between the ages of 9 and 15 receives the HPV vaccine.,To end cervical cancer in our country.
Recruitment of additional labour inspectors,Department of Employment and Labour,"10,000 labour inspectors",this year,"To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.","To crack down on violations of immigration and labour laws, specifically employers hiring foreign nationals without required visas."
Launch of Digital ID,Department of Home Affairs,,this year,"This year, the DHA will launch a Digital ID to enable safe and secure use of digital services for all South Africans.",To enable safe and secure use of digital services and digitise government functions.
National Dialogue and National Convention,Eminent Persons Group / Steering Committee,,this year (Dialogue process),"This year, the National Dialogue process will spread across South Africa... These public dialogues will culminate in a National Convention",To give citizens the opportunity to raise concerns/aspirations and guide the next phase of the National Development Plan.
