Topic/Theme,Key Points,Supporting Evidence,Entities,Timeline/Context,Impact/Reasoning
"Border Security & Immigration","Re-develop border posts via PPPs; 10,000 additional labour inspectors; Electronic Travel Authorisation for all airports and busy land ports.","Key border posts will be re-developed through public-private partnerships..., hire an additional 10 000 labour inspectors this year., extend the Electronic Travel Authorisation to all international airports.","SAPS, DHA, Labour Inspectors","This year","Address illegal immigration and secure borders while protecting human rights."
"Public Service Professionalisation","Public Service Amendment Bill to protect appointments from political interference; mandatory lifestyle audits; central disciplinary registry.","The Public Service Amendment Bill will protect key appointments from political interference..., Lifestyle audits have been made mandatory..., establishing a central registry for disciplinary cases.","Public Service","Ongoing","Build an ethical, capable, and developmental state with skilled, honest servants."
"SOE Governance & Reform","Centralised model for SOE management; National State Enterprises Bill; clear standards for appointments.","working in a phased manner towards a centralised model for managing our SOE portfolio., finalising the National State Enterprises Bill.","Eskom, Transnet, Denel, Prasa","Phased implementation","Improve governance, performance, and financial sustainability of state-owned entities."
"Digital Transformation (MyMzansi)","Launch Digital ID; digitise driver's licenses, Matric certificates, and police statements; remote grant testing on MyMzansi platform.","DHA will launch a Digital ID..., All these services will be made available on the MyMzansi platform., Citizens will be able to fill out police statements online.","DHA, MyMzansi platform, SASSA","This year","Harness digital revolution for growth, inclusion, and effective service delivery."
"International Relations & Trade","Implementation of AfCFTA; use international relations to support manufacturing and export growth.","contributing to the implementation of the African Continental Free Trade Area..., using our international relations to support domestic economic priorities.","AU, SADC, AfCFTA","Ongoing","Expand trade between African countries and drive industrialisation."
"Global Inequality","Launch the International Panel on Inequality building on G20 work.","working with our international partners towards launching the International Panel on Inequality.","G20 Extraordinary Committee on Global Inequality","Not specified","Reduce inequality within and between countries."
"Peacekeeping & Defense","Withdraw troops from UN Mission in DRC to consolidate Defence Force.","requested the UN to allow us to withdraw our troops from the UN Mission in the Democratic Republic of the Congo.","UN, SANDF","Immediate","Focus national defense resources and consolidate the SANDF."
"National Dialogue & Convention","Nationwide public dialogues culminating in a National Convention to guide a national compact and NDP beyond 2030.","the National Dialogue process will spread across South Africa..., culminate in a National Convention..., guide the formulation of... the next phase of our National Development Plan beyond 2030.","Eminent Persons Group, Steering Committee","This year","Build national consensus and a long-term plan for the country."
"Investment Targets","Target of raising R2 trillion in new investments; hosting 6th SA Investment Conference.","We have now set ourselves a target of raising R2 trillion in new investments over the next five years., hosting the sixth South Africa Investment Conference on 31 March 2026.","South Africa Investment Conference","Next 5 years / 31 March 2026","Drive inclusive economy and job creation."
"Small Business Support (SMEs)","R2.5 billion in funding for 180,000 SMEs; R1 billion in guarantees; Business Licensing Bill to simplify startup process.","provide more than R2.5 billion in funding..., final Bill makes it easier... to start and run a small business.","SMEs, Women-and youth-led businesses","This year","Back those who create opportunity and reduce bureaucratic hurdles."
"Economic Transformation & B-BBEE","Reviewing B-BBEE framework to refine, re-align, and strengthen it.","undertaking a review to refine, re-align and strengthen our Broad-Based Black Economic Empowerment framework.","B-BBEE framework","Not specified","Drive sustained growth and correct past injustices."
"Youth Employment (YES & SA Youth)","Regulatory changes for YES; expansion of public employment programmes (EPWP, CWP, Stimulus).","introduce regulatory changes that will make it much easier for businesses to participate in the YES programme..., expand our public employment programmes.","YES, SA Youth, EPWP, CWP","Coming year","Create work and learning opportunities on a large scale."
"Disability Inclusion","Increase employment equity for persons with disabilities to 7%; 7% preferential procurement target.","increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030, and to mandate a 7% preferential procurement target.","Public Service, Government entities","By 2030","Ensure no one is left behind in the economy."
"Education & ECD","Compulsory Grade R; mass registration of ECD facilities (Bana Pele).","expanding access to early childhood development (ECD) through the Bana Pele mass registration..., By making Grade R compulsory.","ECD Facilities, Bana Pele","Not specified","Establish a firm foundation for learning in early years."
"Skills Revolution & TVET","Dual training model; reform SETAs; TVETs as primary sites for occupational training; increase skills levy return to 40%.","implement a dual training model..., Technical and Vocational Education and Training (TVET) colleges as the primary sites..., increase the proportion of the skills development levy returned to employers... to 40%.","SETAs, TVET Colleges","Not specified","Align skills development with economic needs."
"Higher Education","Build more universities and TVETs; address student accommodation shortage.","build more universities and TVET colleges..., address this challenge [student accommodation], working with financial institutions.","Ministry of Higher Education, Ministry of Finance","Immediate","Expand opportunities for young people in higher learning."
"Child Stunting & Malnutrition","End child stunting by 2030; focus on first 1,000 days; clear allocation in MTBPS.","mission to end child stunting by 2030..., focus on the crucial first 1 000 days of a child’s life.","National Strategy to Accelerate Action for Children, MTBPS","By 2030","Tackle a massive crisis affecting children's ability to learn and grow."
"Alcohol Regulation","Curb excessive alcohol use via minimum unit pricing, advertising restrictions, and outlet density limits.","national government, we have proposed measures... including minimum unit pricing or higher excise duties.","Provincial governments","Ongoing consultation","Address violence, accidents, and crime linked to alcohol abuse."
"Social Relief of Distress (SRD) Grant","Continue and redesign SRD grant to support livelihoods and skills.","this grant will be continued. This year, we will redesign the grant to more effectively support livelihoods.","Sassa (implied)","This year","Improve lives of the poorest and support productive activity."
"Housing Model Shift","Shift to supporting people to build/buy/rent own housing via subsidies; R500m for District Six Phase 4.","introducing a new model for housing... shifting from building houses for people to supporting them..., With R500 million allocated... Phase 4 of construction [District Six].","District Six","Ongoing","Expand affordable housing and redress past injustices."
"Healthcare & NHI","Substantial investment in academic hospitals (George Mukhari); rollout of Lenacapavir (HIV) and HPV vaccines.","undertaking substantial investment in health infrastructure..., massive rollout of Lenacapavir..., HPV vaccine... every young girl between 9 and 15.","NHI, George Mukhari Hospital","Ongoing","Build a healthy nation and eliminate HIV/cervical cancer."
"Gender-Based Violence (GBVF)","GBVF classified as a national disaster; Social Workers in police stations; scale up survivor support.","Last year, we classified gender-based violence and femicide (GBVF) as a national disaster., placement of Social Workers in police stations.","National Strategic Plan on GBVF","Ongoing","Coordinate response and direct efforts toward impactful interventions."
