Name,Country,Political Group,Date of Birth,Profile URL
Mounir SATOURI,N/A,Group of the Greens/European Free Alliance,25-05-1975,https://www.europarl.europa.eu/meps/en/197500
Marta TEMIDO,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,02-03-1974,https://www.europarl.europa.eu/meps/en/210480
Łukasz KOHUT,N/A,Group of the European People's Party (Christian Democrats),10-09-1982,https://www.europarl.europa.eu/meps/en/197523
Isabel SERRA SÁNCHEZ,N/A,The Left group in the European Parliament - GUE/NGL,N/A,https://www.europarl.europa.eu/meps/en/257009
Arkadiusz MULARCZYK,N/A,European Conservatives and Reformists Group,04-02-1971,https://www.europarl.europa.eu/meps/en/257060
Francisco ASSIS,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,08-01-1965,https://www.europarl.europa.eu/meps/en/28307
Petras AUŠTREVIČIUS,N/A,Renew Europe Group,16-05-1963,https://www.europarl.europa.eu/meps/en/124766
Robert BIEDROŃ,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,13-04-1976,https://www.europarl.europa.eu/meps/en/197498
Ľuboš BLAHA,N/A,Non-attached Members,07-12-1979,https://www.europarl.europa.eu/meps/en/257005
Emmanouil FRAGKOS,N/A,European Conservatives and Reformists Group,27-06-1993,https://www.europarl.europa.eu/meps/en/198490
Tomasz FROELICH,N/A,Europe of Sovereign Nations Group,15-10-1988,https://www.europarl.europa.eu/meps/en/190574
Małgorzata GOSIEWSKA,N/A,European Conservatives and Reformists Group,N/A,https://www.europarl.europa.eu/meps/en/257055
Bernard GUETTA,N/A,Renew Europe Group,28-01-1951,https://www.europarl.europa.eu/meps/en/197543
Rima HASSAN,N/A,The Left group in the European Parliament - GUE/NGL,28-04-1992,https://www.europarl.europa.eu/meps/en/256912
Mircea-Gheorghe HAVA,N/A,Group of the European People's Party (Christian Democrats),26-12-1956,https://www.europarl.europa.eu/meps/en/197646
Rasa JUKNEVIČIENĖ,N/A,Group of the European People's Party (Christian Democrats),26-01-1958,https://www.europarl.europa.eu/meps/en/197840
Ondřej KOLÁŘ,N/A,Group of the European People's Party (Christian Democrats),N/A,https://www.europarl.europa.eu/meps/en/256846
András LÁSZLÓ,N/A,Patriots for Europe Group,N/A,https://www.europarl.europa.eu/meps/en/256860
Reinhold LOPATKA,N/A,Group of the European People's Party (Christian Democrats),27-01-1960,https://www.europarl.europa.eu/meps/en/220896
Antonio LÓPEZ-ISTÚRIZ WHITE,N/A,Group of the European People's Party (Christian Democrats),01-04-1970,https://www.europarl.europa.eu/meps/en/28399
Jorge MARTÍN FRÍAS,N/A,Patriots for Europe Group,08-04-1980,https://www.europarl.europa.eu/meps/en/257029
Liudas MAŽYLIS,N/A,Group of the European People's Party (Christian Democrats),19-05-1954,https://www.europarl.europa.eu/meps/en/197841
Urmas PAET,N/A,Renew Europe Group,20-04-1974,https://www.europarl.europa.eu/meps/en/129073
Chloé RIDEL,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,25-11-1991,https://www.europarl.europa.eu/meps/en/256904
Nacho SÁNCHEZ AMOR,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,15-05-1960,https://www.europarl.europa.eu/meps/en/197722
Silvia SARDONE,N/A,Patriots for Europe Group,25-12-1982,https://www.europarl.europa.eu/meps/en/197578
Marco TARQUINIO,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,16-03-1958,https://www.europarl.europa.eu/meps/en/257160
Matthieu VALET,N/A,Patriots for Europe Group,04-01-1986,https://www.europarl.europa.eu/meps/en/256875
Catarina VIEIRA,N/A,Group of the Greens/European Free Alliance,14-05-1996,https://www.europarl.europa.eu/meps/en/257437
Isabel WISELER-LIMA,N/A,Group of the European People's Party (Christian Democrats),29-12-1961,https://www.europarl.europa.eu/meps/en/197421
Barry ANDREWS,N/A,Renew Europe Group,16-05-1967,https://www.europarl.europa.eu/meps/en/204332
Mieke ANDRIESE,N/A,Patriots for Europe Group,N/A,https://www.europarl.europa.eu/meps/en/130881
Jaume ASENS LLODRÀ,N/A,Group of the Greens/European Free Alliance,N/A,https://www.europarl.europa.eu/meps/en/257015
Sebastião BUGALHO,N/A,Group of the European People's Party (Christian Democrats),N/A,https://www.europarl.europa.eu/meps/en/257081
Danilo DELLA VALLE,N/A,The Left group in the European Parliament - GUE/NGL,01-02-1983,https://www.europarl.europa.eu/meps/en/257155
Ruth FIRMENICH,N/A,Non-attached Members,24-08-1964,https://www.europarl.europa.eu/meps/en/25758
Sandra GÓMEZ LÓPEZ,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23-07-1985,https://www.europarl.europa.eu/meps/en/256997
Hana JALLOUL MURO,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,08-04-1978,https://www.europarl.europa.eu/meps/en/256992
Marc JONGEN,N/A,Europe of Sovereign Nations Group,23-05-1968,https://www.europarl.europa.eu/meps/en/256942
Mariusz KAMIŃSKI,N/A,European Conservatives and Reformists Group,25-09-1965,https://www.europarl.europa.eu/meps/en/257056
Thierry MARIANI,N/A,Patriots for Europe Group,08-08-1958,https://www.europarl.europa.eu/meps/en/197623
Tiago MOREIRA DE SÁ,N/A,Patriots for Europe Group,12-01-1971,https://www.europarl.europa.eu/meps/en/257054
Ştefan MUŞOIU,N/A,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,16-06-1975,https://www.europarl.europa.eu/meps/en/257103
Hannah NEUMANN,N/A,Group of the Greens/European Free Alliance,03-04-1984,https://www.europarl.europa.eu/meps/en/197464
